country_region,province_state,latitude,longitude,date,confirmed_case
US,Illinois,40.3495,-88.9861,2/15/2020,0
US,Illinois,40.3495,-88.9861,2/14/2020,0
US,Illinois,40.3495,-88.9861,2/13/2020,0
US,Illinois,40.3495,-88.9861,2/12/2020,0
US,Illinois,40.3495,-88.9861,2/11/2020,0
US,Illinois,40.3495,-88.9861,2/10/2020,0
US,Illinois,40.3495,-88.9861,2/9/2020,0
US,Illinois,40.3495,-88.9861,2/8/2020,0
US,Illinois,40.3495,-88.9861,2/7/2020,0
US,Illinois,40.3495,-88.9861,2/6/2020,0
US,Illinois,40.3495,-88.9861,2/5/2020,0
US,Illinois,40.3495,-88.9861,2/4/2020,0
US,Illinois,40.3495,-88.9861,2/3/2020,0
US,Illinois,40.3495,-88.9861,2/2/2020,0
US,Illinois,40.3495,-88.9861,2/1/2020,0
US,Illinois,40.3495,-88.9861,1/31/2020,0
US,Illinois,40.3495,-88.9861,1/30/2020,0
US,Illinois,40.3495,-88.9861,1/29/2020,0
US,Illinois,40.3495,-88.9861,1/28/2020,0
US,Illinois,40.3495,-88.9861,1/27/2020,0
US,Illinois,40.3495,-88.9861,1/26/2020,0
US,Illinois,40.3495,-88.9861,1/25/2020,0
US,Illinois,40.3495,-88.9861,1/24/2020,0
US,Illinois,40.3495,-88.9861,1/23/2020,0
US,Illinois,40.3495,-88.9861,1/22/2020,0
US,Indiana,39.8494,-86.2583,3/20/2020,86
US,Indiana,39.8494,-86.2583,3/19/2020,60
US,Indiana,39.8494,-86.2583,3/18/2020,39
US,Indiana,39.8494,-86.2583,3/17/2020,30
US,Indiana,39.8494,-86.2583,3/16/2020,25
US,Indiana,39.8494,-86.2583,3/15/2020,20
US,Indiana,39.8494,-86.2583,3/14/2020,16
US,Indiana,39.8494,-86.2583,3/13/2020,13
US,Indiana,39.8494,-86.2583,3/12/2020,13
US,Indiana,39.8494,-86.2583,3/11/2020,11
US,Indiana,39.8494,-86.2583,3/10/2020,6
US,Indiana,39.8494,-86.2583,3/9/2020,0
US,Indiana,39.8494,-86.2583,3/8/2020,0
US,Indiana,39.8494,-86.2583,3/7/2020,0
US,Indiana,39.8494,-86.2583,3/6/2020,0
US,Indiana,39.8494,-86.2583,3/5/2020,0
US,Indiana,39.8494,-86.2583,3/4/2020,0
US,Indiana,39.8494,-86.2583,3/3/2020,0
US,Indiana,39.8494,-86.2583,3/2/2020,0
US,Indiana,39.8494,-86.2583,3/1/2020,0
US,Indiana,39.8494,-86.2583,2/29/2020,0
US,Indiana,39.8494,-86.2583,2/28/2020,0
US,Indiana,39.8494,-86.2583,2/27/2020,0
US,Indiana,39.8494,-86.2583,2/26/2020,0
US,Indiana,39.8494,-86.2583,2/25/2020,0
US,Indiana,39.8494,-86.2583,2/24/2020,0
US,Indiana,39.8494,-86.2583,2/23/2020,0
US,Indiana,39.8494,-86.2583,2/22/2020,0
US,Indiana,39.8494,-86.2583,2/21/2020,0
US,Indiana,39.8494,-86.2583,2/20/2020,0
US,Indiana,39.8494,-86.2583,2/19/2020,0
US,Indiana,39.8494,-86.2583,2/18/2020,0
US,Indiana,39.8494,-86.2583,2/17/2020,0
US,Indiana,39.8494,-86.2583,2/16/2020,0
US,Indiana,39.8494,-86.2583,2/15/2020,0
US,Indiana,39.8494,-86.2583,2/14/2020,0
US,Indiana,39.8494,-86.2583,2/13/2020,0
US,Indiana,39.8494,-86.2583,2/12/2020,0
US,Indiana,39.8494,-86.2583,2/11/2020,0
US,Indiana,39.8494,-86.2583,2/10/2020,0
US,Indiana,39.8494,-86.2583,2/9/2020,0
US,Indiana,39.8494,-86.2583,2/8/2020,0
US,Indiana,39.8494,-86.2583,2/7/2020,0
US,Indiana,39.8494,-86.2583,2/6/2020,0
US,Indiana,39.8494,-86.2583,2/5/2020,0
US,Indiana,39.8494,-86.2583,2/4/2020,0
US,Indiana,39.8494,-86.2583,2/3/2020,0
US,Indiana,39.8494,-86.2583,2/2/2020,0
US,Indiana,39.8494,-86.2583,2/1/2020,0
US,Indiana,39.8494,-86.2583,1/31/2020,0
US,Indiana,39.8494,-86.2583,1/30/2020,0
US,Indiana,39.8494,-86.2583,1/29/2020,0
US,Indiana,39.8494,-86.2583,1/28/2020,0
US,Indiana,39.8494,-86.2583,1/27/2020,0
US,Indiana,39.8494,-86.2583,1/26/2020,0
US,Indiana,39.8494,-86.2583,1/25/2020,0
US,Indiana,39.8494,-86.2583,1/24/2020,0
US,Indiana,39.8494,-86.2583,1/23/2020,0
US,Indiana,39.8494,-86.2583,1/22/2020,0
US,Iowa,42.0115,-93.2105,3/20/2020,45
US,Iowa,42.0115,-93.2105,3/19/2020,44
